	Japanese	English	Japanese Example	English Sentence	speaking score	listening score
493	ぜんこく	the whole country	つぎ は <b>ぜんこく</b> の おてんき です	And now for the nation's weather.	0	0
494	がいこく	foreign country	はは は まだ <b>がいこく</b> に いった こと が ありません	My mother hasn't been abroad yet.	0	0
495	こっかい	National Diet, parliament	<b>こっかい</b> が さいかい した	The Diet reconvened.	0	0
496	たてる	build, erect@stand, set up, establish	わたしたち は らいねん いえ を <b>たてます</b>@かれ は けーき に ろうそく を <b>たてた</b>	We're building a house next year.@He stuck the candles into the cake.	0	0
497	きこく	return to one's country	かれ は <b>きこく</b> しました	He returned to his country.	0	0
498	カメラ	camera	<b>かめら</b> が こわれた	The camera broke.	0	0
499	がいこくじん	foreigner	にほん に すむ <b>がいこくじん</b> が ふえて います	The number of foreigners living in Japan is increasing.	0	0
500	がいこくご	foreign language	<b>がいこくご</b> を ならう の は むずかしい	Learning foreign languages is hard.	0	0
501	せかい	world	わたし は <b>せかい</b> りょこう を したい	I want to travel around the world.	0	0
502	テープ	tape, cassette	かのじょ は その かいわ を <b>てーぷ</b> に ろくおん した	She recorded the conversation on tape.	0	0
503	くろい	black, dark	かのじょ は <b>くろい</b> どれす を きて います	She's wearing a black dress.	0	0
504	くろ	black	<b>くろ</b> の ぼーるぺん は あります か	Do you have a black pen?	0	0
505	あかちゃん	baby	べっど で <b>あかちゃん</b> が ねむって います	The baby's sleeping in the bed.	0	0
506	あか	red, crimson	しんごう が <b>あか</b> に かわりました	The traffic light changed to red.	0	0
507	ビール	beer, lager	なつ は <b>びーる</b> が とても おいしい	Beer tastes really good in summer.	0	0
508	ぎんこう	bank	<b>ぎんこう</b> は さんじ まで あいて います	The bank is open until three o'clock.	0	0
509	ぎん	silver	かれ は <b>ぎん</b>めだる を とった	He got the silver medal.	0	0
510	ちかてつ	subway	わたし は <b>ちかてつ</b> で つうきん して います	I commute to work by subway.	0	0
511	ぎゅうにく	beef	ゆうしょく に <b>ぎゅうにく</b> を かった	I bought beef for dinner.	0	0
512	ページ	page	さんじゅうに<b>ぺーじ</b> を ひらいて ください	Please open to page 32.	0	0
513	にく	flesh, meat	<b>にく</b> が やけました	The meat is cooked.	0	0
514	さかな	fish	にく と <b>さかな</b> と どちら が すき です か	Which do you prefer, meat or fish?	0	0
515	ぶんや	field, sphere	おんがく は かれ の とくい な <b>ぶんや</b> です	Music is his field of specialty.	0	0
516	やさい	vegetable	わたし は まいにち たくさん <b>やさい</b> を たべます	I eat a lot of vegetables every day.	0	0
517	グラフ	chart, graph	かれ は うりあげ を <b>ぐらふ</b> に した	He made a chart of the sales figures.	0	0
518	ほんや	bookstore, bookseller	えきまえ に <b>ほんや</b> が あります	There's a bookstore in front of the station.	0	0
519	やおや	vegetable store, greengrocer	<b>やおや</b> で みかん を かいました	I bought a tangerine at the grocery store.	0	0
520	そばや	soba restaurant	ひる は <b>そばや</b> に いきました 。	I went to a noodle shop for lunch.	0	0
521	たばこや	cigarette shop, tobacco store	わたし は <b>たばこや</b> で らいたー を かった	I bought a lighter from the cigarette shop.	0	0
522	ポスト	post box, letter box	てがみ を <b>ぽすと</b> に いれました	I put the letter in the mailbox.	0	0
523	ちゃ	tea (plain form)	わたしたち は まいにち お<b>ちゃ</b> を のみます	We drink tea every day.	0	0
524	おちゃ	tea (polite)	<b>おちゃ</b> を いれましょう か	Shall I make tea?	0	0
525	ちゃわん	tea cup, rice bowl	<b>ちゃわん</b> に ごはん を よそいました	I put some rice into the rice bowl.	0	0
526	あじ	taste, flavor	この りょうり は <b>あじ</b> が うすい	This food is tasteless.	0	0
527	テスト	test, exam	<b>てすと</b> を はじめて ください	Please start the test.	0	0
528	みらい	future	<b>みらい</b> は だれ に も わからない	Nobody knows the future.	0	0
529	しゅうまつ	weekend	<b>しゅうまつ</b> は うち で ゆっくり します	On the weekend I relax at home.	0	0
530	りょうり	cooking, handling	はは は <b>りょうり</b> が とくい です	My mother is good at cooking.	0	0
531	あちこち	all over	わたしたち は あさ から <b>あちこち</b> さんぽ しました	We strolled about here and there from the morning.	0	0
532	さくぶん	composition, essay	にほんご で <b>さくぶん</b> を かきました	I wrote an essay in Japanese.	0	0
533	もちいる	use, make use of	かれ は その し を <b>もちいて</b> じぶん の きもち を つたえた	He conveyed his feelings through poetry.	0	0
534	ゴルフ	golf	あに は <b>ごるふ</b> を はじめました	My older brother started playing golf.	0	0
535	こうつうひ	traveling expense, transportation cost	かいしゃ まで の <b>こうつうひ</b> は いっかげつ はっせんえん です	Transportation to the company costs 8,000 yen a month.	0	0
536	きえる	be extinguished, disappear	とつぜん でんき が <b>きえた</b>	Suddenly the electricity went out.	0	0
537	けしごむ	eraser	<b>けしごむ</b> を かして ください	Please lend me your eraser.	0	0
538	おりる	go down, come down@get off, land	そこ の かいだん を <b>おりて</b> ください@つぎ の えき で <b>おります</b>。	Please go down those stairs.@I get off at the next station.	0	0
539	ラジオ	radio	かのじょ は <b>らじお</b> を きいて います	She's listening to the radio.	0	0
540	うれる	sell, be in demand	ことし の なつ は くーらー が よく <b>うれた</b>	Air conditioners sold well this summer.	0	0
541	おろす	bring down, take down, pull down@unload, set down	たな から その はこ を <b>おろして</b> ください@かれ は くるま から にもつ を <b>おろした</b>	Please take the box down from the shelf.@He unloaded the luggage from the car.	0	0
542	なる	become@become@sound, ring, roar	かれ は いしゃ に <b>なりました</b>@かきのき に み が たくさん <b>なって います</b>@けさ ごじ に でんわ が <b>なった</b>	He became a doctor.@A lot of fruit is ripening on the persimmon tree.@The telephone rang this morning at five o'clock.	0	0
543	うりば	sales floor, department	くつ<b>うりば</b> は どこ です か	Where is the shoe department?	0	0
544	てんいん	clerk, salesperson	あの <b>てんいん</b> は とても しんせつ です	That shop clerk is very kind.	0	0
545	ばいてん	booth, store	えき の <b>ばいてん</b> で ざっし を かった	I bought a magazine at a shop in the station.	0	0
546	タクシー	taxi, cab	<b>たくしー</b> を よんで ください	Please call a taxi.	0	0
547	さくひん	work of art, piece	この え は ごっほ の <b>さくひん</b> だ	This painting is one of van Gogh's works.	0	0
548	はんばい	sale, selling	まえうりけん は まどぐち で <b>はんばい</b> して います	Advance tickets are being sold at the ticket window.	0	0
549	にかい	second floor, upstairs	あに は <b>にかい</b> に います	My elder brother is on the second floor.	0	0
550	ゆっくり	slowly	もっと <b>ゆっくり</b> はなして ください	Please speak more slowly.	0	0
551	だんかい	stage	この <b>だんかい</b> で は けつだん する の は まだ はやい	At this stage, it is still early to decide.	0	0
552	だんだん	gradually, one after another	<b>だんだん</b> しごと が たのしく なって きました	My work has gradually become more enjoyable.	0	0
553	ねだん	price	この べると の <b>ねだん</b> は にせんごひゃくえん でした	The price of this belt was 2,500 yen.	0	0
554	レストラン	restaurant	<b>れすとらん</b> で いんど りょうり を たべました	I ate Indian food at the restaurant.	0	0
555	かかく	price, cost	がそりん の <b>かかく</b> が どんどん あがって いる	The price of gasoline keeps going up fast.	0	0
556	ごうかく	passing an examination, eligibility	むすめ が にゅうがく しけん に <b>ごうかく</b> しました	My daughter passed the university entrance exam.	0	0
557	いち	one@position, place	<b>いち</b> から はじめましょう@わたし の まち は とうきょう の きた に <b>いち</b> します	Let's start from the beginning.@My town is located north of Tokyo.	0	0
558	なつやすみ	summer vacation	きょう が <b>なつやすみ</b> さいご の ひ だ	Today's the last day of summer vacation.	0	0
559	ふゆやすみ	winter vacation	<b>ふゆやすみ</b> に おじいちゃん の うち に いきます	I'm going to grandpa's house during winter break.	0	0
560	カード	card, credit card	しはらい は <b>かーど</b> で おねがい します	Please pay by card.	0	0
561	ねつ	heat, fever	きのう の よる <b>ねつ</b> が でました	I had a fever last night.	0	0
562	さむさ	coldness, cold	きょう は きびしい <b>さむさ</b> に なる でしょう	It will probably be extremely cold today.	0	0
563	アルバイト	casual job, student job, part-time job	あに は <b>あるばいと</b> を して います	My big brother works part-time.	0	0
564	あたためる	warm, warm up, heat up	いま くるま を <b>あたためています</b>	I'm warming up the car now.	0	0
565	あたたまる	get warm	まだ へや が <b>あたたまらない</b>。	The room hasn't warmed up yet.	0	0
566	おんど	temperature	いま へや の <b>おんど</b> は にじゅうごど だ	This room's temperature is currently 25 degrees.	0	0
567	きおん	temperature	きょう の <b>きおん</b> は にじゅうろくど です	Today's temperature is 26 degrees.	0	0
568	コピー	copy, photocopy	かいぎ で しょるい の <b>こぴー</b> を くばった	I handed out copies of the document at the meeting.	0	0
569	たいふう	typhoon	<b>たいふう</b> が ちかづいて いる	The typhoon's getting closer.	0	0
570	じじょう	circumstances, conditions	あなた の <b>じじょう</b> は よく わかりました	I understand your situation well.	0	0
571	ぶつかる	hit, bump into	くるま が でんちゅう に <b>ぶつかった</b>	The car crashed into the telephone pole.	0	0
572	じょうほう	information	がくせいたち は いんたーねっと で いろいろな <b>じょうほう</b> を あつめた	The students gathered all kinds of information on the Internet.	0	0
573	ほうこく	report	きのう の かいぎ に ついて <b>ほうこく</b> が あります	There's a report about yesterday's conference.	0	0
574	しんぶん	newspaper	きょう の <b>しんぶん</b> どこ に おいた	Where did you put today's newspaper?	0	0
575	フィルム	film	りょこう の ため に たくさん <b>ふぃるむ</b> を かった	I bought a lot of film for the trip.	0	0
576	ちゅうしん	center, middle	ここ が たてもの の <b>ちゅうしん</b> です	This is the center of the building.	0	0
577	あんしん	peace of mind, relief	それ を きいて <b>あんしん</b> しました	I was relieved to hear that.	0	0
578	おもいだす	recollect, recall	たいせつ な ようじ を <b>おもいだしました</b>	I just remembered something important I need to take care of.	0	0
579	とめる	stop, turn off@lodge, give shelter	くるま を <b>とめて</b>@ともだち を うち に <b>とめて あげました</b>	Stop the car.@I put my friend up at my house.	0	0
580	デパート	department store, department	わたし は <b>でぱーと</b> で くつ を かった	I bought shoes at the department store.	0	0
581	おもいで	recollections, memory	りょこう で たのしい <b>おもいで</b> が できました	I made wonderful memories during my trip.	0	0
582	かんがえ	thought, view, idea	それ は いい <b>かんがえ</b> です	That's a good idea.	0	0
583	かいけつ	solution, settlement	とらぶる が やっと <b>かいけつ</b> した	The problem has finally been solved.	0	0
584	しらせる	let know, inform	みんな に かいぎ の ひにち を <b>しらせた</b>	I informed everyone of the day of the meeting.	0	0
585	ベッド	bed	かれ は <b>べっど</b> で ねて います	He's sleeping in the bed.	0	0
586	のうりょく	ability, capacity	かれ は <b>のうりょく</b> の ある しゃいん です	He's a resourceful employee.	0	0
587	かのう	possible, potential	にじゅっきろ の だいえっと は <b>かのう</b> だ と おもいます か	Do you think it's possible to go on a twenty kilogram diet?	0	0
588	ゆうびん	mail service, postal matter	さっき <b>ゆうびん</b> が とどきました	The mail has just arrived.	0	0
589	ふべん	inconvenient	わたし の いえ は えき から とおく て <b>ふべん</b> です	My house is inconveniently located far from the station.	0	0
590	ゆうびんやさん	mailman	<b>ゆうびんやさん</b> は もう きました か	Has the postman already come?	0	0
591	ゆうびんきょく	post office	<b>ゆうびんきょく</b>で きって を かいました	I bought a stamp at the post office.	0	0
592	こうばん	police box	あそこ の <b>こうばん</b> で みち を ききましょう	Let's ask for directions at that police box.	0	0
593	ノート	note book, laptop	<b>のーと</b> を ひらいて ください	Please open your notebook.	0	0
594	ばんち	lot number, address	その たてもの の <b>ばんち</b> は わかります か	Do you know the building's plot number?	0	0
595	ばんごう	number, serial number	この <b>ばんごう</b> に でんわ して ください	Please call this number.	0	0
596	ばしょ	place, space	かいしゃ の <b>ばしょ</b> を おしえて ください	Please tell me where the office is.	0	0
597	きんじょ	neighborhood	<b>きんじょ</b> に かなだじん が すんで いる	A Canadian lives in my neighborhood.	0	0
598	ワイン	wine	<b>わいん</b> を すこし のみました	I drank a little wine.	0	0
599	だいどころ	kitchen	おかあさん は <b>だいどころ</b> に います	Mother's in the kitchen.	0	0
600	じゅうしょ	one's dwelling, address	この <b>じゅうしょ</b> に いって ください	Please go to this address.	0	0
601	べんじょ	lavatory, bathroom	<b>べんじょ</b> は そこ です	The bathroom is there.	0	0
602	ゆうめい	famous	ぼるどー は わいん の せいさん で <b>ゆうめい</b> だ	Bordeau is famous for wine production.	0	0
603	おく	hundred million@inner part, the back, inner chamber@put, leave	せかい じんこう は ろくじゅうご<b>おく</b>にん だ@はさみ は つくえ の <b>おく</b> に あった@かれ は かばん を いす の うえ に <b>おきました</b>	The world's population is 6.5 billion people.@The scissors were at the back of the desk.@He put the bag on the chair.	0	0
604	みょうじ	surname, family name	あなた の <b>みょうじ</b> は なん です か	What's your surname?	0	0
605	しめい	name	ここ に じゅうしょ と <b>しめい</b> を かいて ください	Please write your name and address here.	0	0
606	かっこく	every country	<b>かっこく</b> の だいひょう が にゅーよーく に あつまった	Each country's representatives assembled in New York.	0	0
607	まち	town, machi, city quarter	あの <b>まち</b> は みどり を ふやして います	That town is increasing its greenery.	0	0
608	トイレ	toilet	<b>といれ</b> を そうじ しました か	Did you clean the toilet?	0	0
609	なおる	be cured, get well@be repaired, return to normal	けが は もう <b>なおりました</b> か@くーらー は まだ <b>なおりません</b>	Is your injury better yet?@The air conditioner hasn't been repaired yet.	0	0
610	つごう	circumstances	きょう は <b>つごう</b> が わるくて いけません	I can't go today because it's not convenient for me.	0	0
611	あさごはん	breakfast	しちじ に <b>あさごはん</b> を たべました	I ate breakfast at seven o'clock.	0	0
612	かいもの	shopping, purchase	はは は <b>かいもの</b> に でかけて います	My mother's gone shopping.	0	0
613	わかれる	be divided, disperse, branch off@separate, part from	ぐるーぷ の なか で いけん が <b>わかれました</b>@えき で ともだち と <b>わかれました</b>	Opinion was divided within the group.@I parted with my friend at the station.	0	0
614	キャンプ	camping, camp	ともだち と <b>きゃんぷ</b> に いった	I went camping with a friend.	0	0
615	にもつ	baggage, load	かれ の いえ に <b>にもつ</b> を おくりました	I sent a package to his house.	0	0
616	しなもの	article, thing	その みせ は いろいろ な <b>しなもの</b> を うって いる	The shop sells a lot of products.	0	0
617	けんぶつ	sightseeing, visit	みんな で とうきょう <b>けんぶつ</b> を した	We all went sightseeing in Tokyo.	0	0
618	プラスチック	plastic	この かっぷ は <b>ぷらすちっく</b> です	This cup is plastic.	0	0
619	わすれもの	something left behind, lost item	がっこう に <b>わすれもの</b> を しました	I left something behind at school.	0	0
620	おもさ	weight	この にもつ の <b>おもさ</b> を はかって ください	Please weigh this luggage.	0	0
621	くばる	hand out, distribute, allot	かいぎ で しょるい を <b>くばった</b>	I handed out the document at the meeting.	0	0
622	はいたつ	delivery	かれ は しんぶん <b>はいたつ</b> を して いる	He's delivering newspapers.	0	0
623	カラー	color	<b>からー</b>こぴー は いちまい いくら です か	How much is one color copy?	0	0
624	しんぱい	anxiety, worry, good offices	あす の ぷれぜんてーしょん が <b>しんぱい</b> だ	I'm worried about tomorrow's presentation.	0	0
625	みおくる	see (someone) off	かれ が がいこく に いく の を <b>みおくりました</b>	I saw him off on his trip overseas.	0	0
626	みおくり	seeing someone off	えき に ゆうじん の <b>みおくり</b> に いきました	I went to the station to see off a friend.	0	0
627	うける	receive, accept	かれ は しゅうしょく しけん を <b>うけた</b>	He took an exam to apply for a job.	0	0
628	ピアノ	piano	むかし <b>ぴあの</b> を ならって いました	I used to learn the piano.	0	0
629	うけとる	receive, understand	かれ から めーる を <b>うけとりました</b>	I got an email from him.	0	0
630	かきとる	write down, note down	はなし の ぽいんと を <b>かきとった</b>	I wrote down the main points of what was said.	0	0
631	とどく	reach, be received	きのう ちち から てがみ が <b>とどいた</b>	I got a letter from my father yesterday.	0	0
632	スキー	ski, skiing	ふゆ は よく <b>すきー</b> に いきます	We go skiing a lot in winter.	0	0
633	とどける	deliver, give notice	これ を かれ に <b>とどけて</b> ください	Please send this to him.	0	0
634	かねもち	wealthy person	かれ は <b>かねもち</b> です	He's rich.	0	0
635	もっていく	take	みず を <b>もっていきましょう</b>	Let's take some water with us.	0	0
636	もってくる	bring	その いす を <b>もって きて</b> ください	Please bring that chair.	0	0
637	なげる	throw, abandon	ぼーる を こっち に <b>なげて</b> ください	Please throw the ball over here.	0	0
638	うまれる	be born, come into existence	あね ふうふ に おとこのこ が <b>うまれました</b>	My sister and her husband had a baby boy.	0	0
639	プール	pool	わたし は なつやすみ に <b>ぷーる</b> に いった	I went to the pool during summer vacation.	0	0
640	うむ	have children	うち の ねこ が こねこ を <b>うみました</b>	Our cat had kittens.	0	0
641	じょせい	woman, female	その ぱーてぃー に <b>じょせい</b> は なんにん きます か	How many women are coming to that party?	0	0
642	おみやげ	souvenir	ちち は <b>おみやげ</b> に おかし を かって きた	My father bought some sweets as a souvenir.	0	0
643	ホーム	platform	もうすぐ この <b>ほーむ</b> に でんしゃ が きます	The train will arrive on this platform soon.	0	0
644	せいかつ	life, living	にほん で の <b>せいかつ</b> は たのしい です	Life in Japan is fun.	0	0
645	せいと	pupil, student	この くらす の <b>せいと</b> は さんじゅうにん です	There are 30 students in this class.	0	0
646	ちゅうがく	junior high school	むすこ は <b>ちゅうがく</b> に かよって います	My son goes to junior high.	0	0
647	にゅうがく	enter a school, matriculate	いもうと は くがつ に あめりか の だいがく に <b>にゅうがく</b> します	My little sister's entering college in the United States in September.	0	0
648	エレベーター	elevator	<b>えれべーたー</b> で した に おりましょう	Let's take the elevator down.	0	0
649	ちゅうがくせい	junior high school student	むすこ は <b>ちゅうがくせい</b> です	My son is a junior high school student.	0	0
650	しょうがくせい	schoolchildren, schoolboy	うち の むすこ は らいねん <b>しょうがくせい</b> に なります	Our son will start primary school next year.	0	0
651	けんがく	observation tour, study tour, field trip	きょう こうじょう の <b>けんがく</b> に いきました	We went on a field trip to a factory today.	0	0
652	つうがく	attending school, going to school	まいあさ <b>つうがく</b> に いちじかん かかる	It takes me an hour to go to school every morning.	0	0
653	メモ	memorandum, memo pad	<b>めも</b> を とって ください	Please take notes.	0	0
654	こうこう	high school	いもうと は <b>こうこう</b> に かよって います	My little sister goes to high school.	0	0
655	しょうがっこう	elementary school	いえ の ちかく に <b>しょうがっこう</b> が あります	There's an elementary school near my house.	0	0
656	ちゅうがっこう	junior high school	むすこ の <b>ちゅうがっこう</b> は いえ から ごふん です	My son's junior high is five minutes from our house.	0	0
657	パン	bread	あさごはん に は いつも <b>ぱん</b> を たべる	I always eat bread for breakfast.	0	0
658	きょういく	education	かれ は かいがい で <b>きょういく</b> を うけました	He received his education abroad.	0	0
659	そだてる	bring up, breed	かのじょ は さんにん の こ を <b>そだてました</b>	She raised three children.	0	0
660	びっくりする	surprised	おおきな おと に <b>びっくり しました</b>	I was startled by a sudden sound.	0	0
661	そだつ	be brought up, grow	やさい が よく <b>そだって いる</b>	The vegetables are growing well.	0	0
662	せいど	system, organization	らいねん から あたらしい <b>せいど</b> が はじまります	A new system will start from next year.	0	0
663	つよさ	strength, power	かぜ の <b>つよさ</b> に おどろきました	I was surprised by the strength of the wind.	0	0
664	とりひき	transaction, dealings	わたしたち は ちゅうごく の かいしゃ と <b>とりひき</b> して います	We're dealing with a Chinese company.	0	0
665	コート	court@coat, jacket	あたらしい <b>こーと</b> で てにす を しました@さむかった の で <b>こーと</b> を きた	I played tennis on the new court.@I put on a coat because it was cold.	0	0
666	ズボン	trousers, pants	<b>ずぼん</b> が よごれた	My trousers got dirty.	0	0
667	ひきだし	drawer, withdrawal	さいふ は <b>ひきだし</b> の なか に あります	My purse is in the drawer.	0	0
668	おしいれ	closet	ふとん を <b>おしいれ</b> に しまいました	I put my futon in the closet.	0	0
669	れんしゅう	practice, training	むすめ は いま ばいおりん を <b>れんしゅう</b> して います	My daughter is practicing the violin now.	0	0
670	おかしい	strange, peculiar, suspicious@funny, amusing, comical	かれ の ようす が <b>おかしい</b>@かれ の はなし は <b>おかしかった</b>	He's acting strange.@His story was funny.	0	0
671	おもちゃ	toy, plaything	あかちゃん が じどうしゃ の <b>おもちゃ</b> で あそんで いる	The baby's playing with the toy car.	0	0
672	なれる	grow accustomed to	あたらしい いえ に は もう <b>なれました</b> か	Have you gotten used to the new house yet?	0	0
673	けんきゅう	research, study	かれ は なんねん も じしん の <b>けんきゅう</b> を して いる	He's been researching earthquakes for many years.	0	0
674	グラム	gram	ひきにく を にひゃく<b>ぐらむ</b> ください	Please give me 200 grams of ground (beef, chicken, etc.)	0	0
675	しけん	test, examination	あした の <b>しけん</b> がんばって ね	Good luck on tomorrow's exam.	0	0
676	もんだい	problem, question	<b>もんだい</b> が ひとつ あります	There's one problem.	0	0
677	やめる	stop, give up, abolish@resign, retire	はなす の を <b>やめて</b> ください@かれ は かいしゃ を <b>やめます</b>	Stop talking, please.@He's leaving the company.	0	0
678	かんたん	simple, easy	この りょうり は とても <b>かんたん</b> です	This dish is very easy to make.	0	0
679	ふくざつ	complicated, intricate	この ぷろぐらむ は とても <b>ふくざつ</b> です	This program is very complicated.	0	0
680	コーヒー	coffee	わたし は まいあさ <b>こーひー</b> を のみます	I drink coffee every morning.	0	0
681	すうじ	figure, numeral	<b>すうじ</b> は にがて です	I'm not good with numbers.	0	0
682	すうがく	mathematics	あに は <b>すうがく</b> の せんせい です	My big brother's a math teacher.	0	0
683	かぞえる	count, calculate	いす の かず を <b>かぞえて</b> ください	Please count the number of chairs.	0	0
684	こんかい	this time	まあ <b>こんかい</b> は ゆるして あげよう	Well, I'll let you off this time.	0	0
685	テント	tent	みんな で <b>てんと</b> を はりました	We all put up the tent together.	0	0
686	まわる	turn round, go round, detour	つき は ちきゅう の まわり を <b>まわって います</b>	The moon spins around the earth.	0	0
687	まわす	turn, rotate	ねじ は ひだり に <b>まわす</b> と はずれます	If you turn the screw to the left it will come undone.	0	0
688	こじん	individual	これ は わたし <b>こじん</b> の いけん です	This is my personal opinion.	0	0
689	たんとう	person in charge	わたし は せーるす を <b>たんとう</b> して います	I'm in charge of sales.	0	0
690	ボート	boat	いけ で <b>ぼーと</b> に のりました	I got on the boat at the pond.	0	0
691	あたる	hit, strike	ぼーる が かれ の あたま に <b>あたった</b>	The ball hit him on the head.	0	0
692	とうじ	at that time, at the present time	かのじょ は <b>とうじ</b> まだ さんさい だった	She was only three years old at the time.	0	0
693	ほんとう	truth, reality	その はなし は <b>ほんとう</b> です か	Is the story true?	0	0
694	とうぜん	natural, as a matter of course	かのじょ が おこる の も <b>とうぜん</b> だ	It's natural that she should be angry.	0	0
695	ボール	ball	かれ は <b>ぼーる</b> を なげた	He threw the ball.	0	0
696	ぜんぜん	wholly, at all	この ほん は <b>ぜんぜん</b> おもしろく なかった	This book wasn't interesting at all.	0	0
697	ほうほう	method, procedure	いい <b>ほうほう</b> を おもいつきました	We hit on a good method.	0	0
698	ほうりつ	law	あたらしい <b>ほうりつ</b> が できた	A new law has been passed.	0	0
699	きそく	rule, regulation	あの かいしゃ の <b>きそく</b> は きびしい です	That company's rules are strict.	0	0
700	オートバイ	motorbike, motorcycle	かれ は <b>おーとばい</b> に のって いる	He rides a motorcycle.	0	0
701	けいけん	experience	きょう の しあい は いい <b>けいけん</b> に なりました	Today's game was a good experience.	0	0
702	けいざい	economy, economics	だいがく で <b>けいざい</b> を べんきょう しました	I studied economics in college.	0	0
703	けいえい	management, operation	わがしゃ の <b>けいえい</b> は うまく いって います	Our company is well managed.	0	0
704	ひどい	cruel, severe	いもうと と <b>ひどい</b> けんか を した	I had an awful fight with my little sister.	0	0
705	かぶ	stocks, shares	さいきん <b>かぶ</b> を はじめました	I recently started investing in stocks.	0	0
706	きぎょう	corporation, business	かのじょ は あめりか の <b>きぎょう</b> で はたらいて います	She works in an American company.	0	0
707	さぎょう	work, operation	<b>さぎょう</b> する に は もっと ひろい すぺーす が ひつよう だ	I need a bigger space to work.	0	0
708	さんぎょう	industry	にほん の じどうしゃ <b>さんぎょう</b> は せかいてき に ゆうめい だ	The Japanese auto industry is famous worldwide.	0	0
709	あなた	you	この ほん <b>あなた</b> に あげます	I'll give you this book.	0	0
710	こうぎょう	industry, manufacturing industry	そこ は <b>こうぎょう</b> とし だ	That's an industrial city.	0	0
711	しょうぎょう	commerce, trade	この まち で は <b>しょうぎょう</b> が さかん だ	Business is thriving in this city.	0	0
712	りよう	utilization, usage	わたし は よく としょかん を <b>りよう</b> します	I often use the library.	0	0
713	べんり	convenience, handiness	いんたーねっと は とても <b>べんり</b> です	The Internet is very convenient.	0	0
714	スイッチ	switch	かれ は かーらじお の <b>すいっち</b> を いれた	He hit the switch on his car radio.	0	0
715	ぎじゅつ	skill, technology	かれ は ひじょう に たかい <b>ぎじゅつ</b> を もって いる	He has very advanced skills.	0	0
716	しゅじゅつ	surgical operation	ちち は むね の <b>しゅじゅつ</b> を した	My father had a chest operation.	0	0
717	せいぞう	production, manufacture	この こうじょう で は えあこん を <b>せいぞう</b> して います	This factory manufactures air conditioning units.	0	0
718	かならず	without fail, certainly	<b>かならず</b> しーとべると を つけて ください	Always wear your seat belt.	0	0
719	プレゼント	present, gift	たんじょうび に <b>ぷれぜんと</b> を もらいました	I got some presents on my birthday.	0	0
720	ひつよう	need, necessity	わたし に は たくさん の おかね が <b>ひつよう</b> だ	I need a lot of money.	0	0
721	じゅうよう	important, essential	これ は <b>じゅうよう</b> な しょるい です	This is an important document.	0	0
722	ようきゅう	requirement, demand	かれ は わたし の <b>ようきゅう</b> に こたえた	He answered my demands.	0	0
723	めざましどけい	alarm clock	しちじ に <b>めざましどけい</b> が なりました	The alarm clock went off at seven o'clock.	0	0
724	いつでも	always, at all times	<b>いつでも</b> うち に きて ください	Please come to my house any time.	0	0
725	けいさん	calculation	その <b>けいさん</b> は まちがって いる	That calculation is wrong.	0	0
726	ひきざん	subtraction	むすめ は がっこう で <b>ひきざん</b> を ならって いる	My daughter's learning subtraction at school.	0	0
727	たしざん	addition	むすめ は がっこう で <b>たしざん</b> を ならった	My daughter learned addition in school.	0	0
728	こうさてん	crossing, intersection	つぎ の <b>こうさてん</b> を ひだり に まがって ください	Please turn left at the next intersection.	0	0
729	テニス	tennis	かれら は よく <b>てにす</b> を して います	They often play tennis.	0	0
730	わる	divide, crack, split	さら を おとして <b>わった</b>	I dropped the plate and broke it.	0	0
731	われる	crack, be divided, split	こっぷ が おちて <b>われた</b>	The glass fell and broke.	0	0
732	わりざん	division	<b>わりざん</b> は しょうがっこう で ならいます	Division is learned in elementary school.	0	0
733	のこる	remain, be left over	りょうり が たくさん <b>のこりました</b>	A lot of food was left over.	0	0
734	こちら	here, this way	うけつけ は <b>こちら</b> です	The reception desk is this way.	0	0
735	のこす	leave, reserve, leave undone	かのじょ は めっせーじ を <b>のこしました</b>	She left a message.	0	0
736	そば	side, vicinity@buckwheat noodles, soba	<b>そば</b> に いて ください@おひる に <b>そば</b> を たべた	Stay with me.@I ate buckwheat noodles for lunch.	0	0
737	へんじ	answer, reply	てがみ の <b>へんじ</b> を だしました	I sent a reply to the letter.	0	0
738	かりる	borrow	かれ に びでお を <b>かりました</b>	I borrowed a video from him.	0	0
739	ボタン	button	<b>ぼたん</b> を おして ください	Please press the button.	0	0
740	かす	lend, lease	わたし は かれ に ほん を <b>かして います</b>	I'm lending him the book.	0	0
741	かしだす	lend, lend out	その ほん は <b>かしだし</b>ちゅう です	That book is currently on loan.	0	0
742	もうしこむ	apply, make a proposal	かのじょ は その せみなー に <b>もうしこんだ</b>	She registered for that workshop.	0	0
743	おくる	offer, give@send	はは に はな を <b>おくった</b>@かれ の いえ に にもつ を <b>おくりました</b>	I sent my mother some flowers.@I sent a package to his house.	0	0
744	かぎる	be limited to	この さーびす は しゅうまつ に <b>かぎります</b>	This service is limited to weekends.	0	0
745	いそぐ	hurry, hasten	わたしたち は えき へ <b>いそぎました</b>	We hurried to the station.	0	0
746	きゅうに	suddenly, unexpectedly	<b>きゅうに</b> ようじ を おもいだした	I suddenly remembered I have something to do.	0	0
747	ひ	sun, sunlight, day@fire	なつ は <b>ひ</b> が ながい@<b>ひ</b> を けして	The days are long in summer.@Put the fire out.	0	0
