	Kanji	English	Example Sentence	Example Sentence Reading	English Sentence	writing score	Reading	reading score
1641	再来月	the month after next	<b>再来月</b>まで予約で一杯です。	<b>さらいげつ</b> まで よやく で いっぱい です	They're fully booked until the month after the next.	0	さらいげつ	0
1642	再来週	the week after next	<b>再来週</b>は忙しいです。	<b>さらいしゅう</b> は いそがしい です	I'll be busy the week after next.	0	さらいしゅう	0
1643	放送	broadcasting	その番組は来週<b>放送</b>されます。	その ばんぐみ は らいしゅう <b>ほうそう</b> されます	The program will be broadcast next week.	0	ほうそう	0
1644	装置	"equipment, device"	実験にはこの<b>装置</b>を使います。	じっけん に は この <b>そうち</b> を つかいます	We use this device in our experiments.	0	そうち	0
1645	ティッシュ	tissue	<b>ティッシュ</b>を取ってください。	<b>てぃっしゅ</b> を とって ください	Please pass me the tissues.	0	ティッシュ	0
1646	仮名	"kana, Japanese syllabary"	お名前に<b>仮名</b>を振ってください。	おなまえ に <b>かな</b> を ふって ください	Please write the pronunciation of your name in kana.	0	かな	0
1647	送り仮名	kana suffix	その<b>送り仮名</b>は間違っています。	その <b>おくりがな</b> は まちがって います	That kana suffix is wrong.	0	おくりがな	0
1648	鏡	mirror	彼女は<b>鏡</b>を見て髪を直した。	かのじょ は <b>かがみ</b> を みて かみ を なおした	She looked in the mirror and tidied her hair.	0	かがみ	0
1649	悲しむ	"feel sad, lament"	父は友だちの死を<b>悲しんでいます</b>。	ちち は ともだち の し を <b>かなしんで います</b>	My father is grieving because of his friend's death.	0	かなしむ	0
1650	ノック	knock	入る時はドアを<b>ノック</b>してください。	はいる とき は どあ を <b>のっく</b> して ください	Please knock before entering.	0	ノック	0
1651	固い	"stiff, tight"	私の上司は頭が<b>固い</b>。	わたし の じょうし は あたま が <b>かたい</b>	My boss is stubborn.	0	かたい	0
1652	美術館	art museum	昨日、<b>美術館</b>に行きました。	きのう <b>びじゅつかん</b> に いきました	I went to the museum yesterday.	0	びじゅつかん	0
1653	美人	beautiful woman	彼のお母さんは<b>美人</b>です。	かれ の おかあさん は <b>びじん</b> です	His mother's a beautiful woman.	0	びじん	0
1654	美容院	beauty shop	父は<b>美容院</b>で髪を切ります。	ちち は <b>びよういん</b> で かみ を きります	My father has his hair cut at a hair salon.	0	びよういん	0
1655	よろしく	"properly, one's regards"	<b>よろしく</b>お願いします。	<b>よろしく</b> おねがい します	My best regards.	0	よろしく	0
1656	博物館	museum	昨日、車の<b>博物館</b>に行った。	きのう くるま の <b>はくぶつかん</b> に いった	I went to the car museum yesterday.	0	はくぶつかん	0
1657	開催	"holding (of an event), opening"	京都で国際会議が<b>開催</b>された。	きょうと で こくさいかいぎ が <b>かいさい</b> された	An international conference was held in Kyoto.	0	かいさい	0
1658	特徴	"distinctive feature, characteristic"	この曲線がこの車の<b>特徴</b>です。	この きょくせん が この くるま の <b>とくちょう</b> です	These curves are a unique feature of this car.	0	とくちょう	0
1659	許す	"permit, license, forgive"	私は彼を<b>許しました</b>。	わたし は かれ を <b>ゆるしました</b>	I forgave him.	0	ゆるす	0
1660	免許証	license	<b>免許証</b>を見せてください。	<b>めんきょしょう</b> を みせて ください	Please show me your license.	0	めんきょしょう	0
1661	教師	"teacher, instructor"	彼は高校<b>教師</b>だ。	かれ は こうこう <b>きょうし</b> だ	He's a high school teacher.	0	きょうし	0
1662	教授	professor	彼は化学の<b>教授</b>です。	かれ は かがく の <b>きょうじゅ</b> です	He's a chemistry professor.	0	きょうじゅ	0
1663	伝える	"convey, transmit, hand down"	みんなにこのことを<b>伝えて</b>ください。	みんな に この こと を <b>つたえて</b> ください	Please tell everyone about this matter.	0	つたえる	0
1664	ぎらぎら	"dazzling, glaring, blinding"	太陽が<b>ぎらぎら</b>している。	たいよう が <b>ぎらぎら</b> して いる	The sun is glaring.	0	ぎらぎら	0
1665	鳥	"bird, poultry"	<b>鳥</b>が飛んでいます。	<b>とり</b> が とんで います	A bird is flying.	0	とり	0
1666	鳴る	"sound, ring, roar"	今朝、5時に電話が<b>鳴った</b>。	けさ ごじ に でんわ が <b>なった</b>	The telephone rang this morning at five o'clock.	0	なる	0
1667	鳴く	"cry, chirp, meow"	どこかでネコが<b>鳴いている</b>。	どこか で ねこ が <b>ないて いる</b>	A cat is meowing somewhere.	0	なく	0
1668	声	"voice, sound"	彼は大きな<b>声</b>で話した。	かれ は おおき な <b>こえ</b> で はなした	He spoke loudly.	0	こえ	0
1669	そっち	"there, thou"	<b>そっち</b>が私の部屋です。	<b>そっち</b> が わたし の へや です	That's my room over there.	0	そっち	0
1670	卵	egg	ニワトリは<b>卵</b>を産みます。	にわとり は <b>たまご</b> を うみます	Chickens lay eggs.	0	たまご	0
1671	犬	dog	この<b>犬</b>はとても賢い。	この <b>いぬ</b> は とても かしこい	This dog is very clever.	0	いぬ	0
1672	馬	horse	彼は牧場で<b>馬</b>に乗った。	かれ は ぼくじょう で <b>うま</b> に のった	He rode a horse at the ranch.	0	うま	0
1673	駐車場	parking area	車は<b>駐車場</b>に止めてください。	くるま は <b>ちゅうしゃじょう</b> に とめて ください	Please park the car in the parking lot.	0	ちゅうしゃじょう	0
1674	ピンポン	"table tennis, ping pong"	昨日の夕方、友達と<b>ピンポン</b>をした。	きのう の ゆうがた ともだち と <b>ぴんぽん</b> を した	I played ping-pong with a friend last night.	0	ピンポン	0
1675	騒ぐ	"make a racket, mess around, make a fuss"	電車の中で<b>騒がないで</b>ください。	でんしゃ の なか で <b>さわがない で</b> ください	Please don't make a racket in the train.	0	さわぐ	0
1676	刺す	"stab, prick, sting"	虫に腕を<b>刺されました</b>。	むし に うで を <b>さされました</b>	I was stung on the arm by an insect.	0	さす	0
1677	刺身	"sashimi, sliced raw meat"	私は<b>刺身</b>は食べません。	わたし は <b>さしみ</b> は たべません	I don't eat sashimi.	0	さしみ	0
1678	激しい	"violent, intense"	<b>激しい</b>雨が降っています。	<b>はげしい</b> あめ が ふって います	A very heavy rain is falling.	0	はげしい	0
1679	驚く	"be surprised, be startled"	彼は血を見て<b>驚いた</b>。	かれ は ち を みて <b>おどろいた</b>	He was surprised to see blood.	0	おどろく	0
1680	倒れる	"fall over, succumb"	強風で木が<b>倒れた</b>。	きょうふう で き が <b>たおれた</b>	The tree fell in the gale.	0	たおれる	0
1681	倒す	"bring down, overthrow, defeat"	そのスキーヤーはポールを<b>倒した</b>。	その すきーやー は ぽーる を <b>たおした</b>	The skier knocked the pole down.	0	たおす	0
1682	傾向	"tendency, disposition"	最近の若者は難しい本を読まない<b>傾向</b>がある。	さいきん の わかもの は むずかしい ほん を よまない <b>けいこう</b> が ある	Young people these days tend not to read difficult books.	0	けいこう	0
1683	柔道	judo	私は<b>柔道</b>を習っています。	わたし は <b>じゅうどう</b> を ならって います	I'm learning judo.	0	じゅうどう	0
1684	柔らか	"soft, tender, gentle"	彼の声は<b>柔らか</b>だ。	かれ の こえ は <b>やわらか</b> だ	His voice is gentle.	0	やわらか	0
1685	主張	"insistence, assertion"	上司は私の<b>主張</b>を受け入れた。	じょうし は わたし の <b>しゅちょう</b> を うけいれた	My boss accepted my argument.	0	しゅちょう	0
1686	レインコート	raincoat	雨なので<b>レインコート</b>を着ました。	あめ な の で <b>れいんこーと</b> を きました	I put on my raincoat because it was raining.	0	レインコート	0
1687	引っ張る	"pull, drag"	娘が私の手を<b>引っ張った</b>。	むすめ が わたし の て を <b>ひっぱった</b>	My daughter tugged on my hand.	0	ひっぱる	0
1688	突き当たる	"hit against, come to the end of"	<b>突き当たったら</b>右に曲がってください。	<b>つきあたったら</b> みぎ に まがって ください	Please turn right when the street ends.	0	つきあたる	0
1689	突き当たり	end of a street	この先は<b>突き当たり</b>です。	この さき は <b>つきあたり</b> です	There's a T-intersection ahead.	0	つきあたり	0
1690	壁	"wall, partition"	<b>壁</b>に絵が掛かっている。	<b>かべ</b> に え が かかって いる	There's a painting on the wall.	0	かべ	0
1691	アイス	"popsicle, ice lolly"	暑いので<b>アイス</b>を食べました。	あつい の で <b>あいす</b> を たべました	I ate ice cream because it was hot.	0	アイス	0
1692	弾く	play on	彼はギターを<b>弾きます</b>。	かれ は ぎたー を <b>ひきます</b>	He plays the guitar.	0	ひく	0
1693	丸い	round	地球は<b>丸い</b>。	ちきゅう は <b>まるい</b>。	The earth is round.	0	まるい	0
1694	丸	"circle or sphere, wholeness"	紙に大きな<b>丸</b>を書きました。	かみ に おおき な <b>まる</b> を かきました	I drew a big circle on the paper.	0	まる	0
1695	攻撃	"attack, criticism"	2003年にアメリカはイラクを<b>攻撃</b>した。	にせんさんねん に あめりか は いらく を <b>こうげき</b> した	The United States attacked Iraq in 2003.	0	こうげき	0
1696	いつごろ	"about when, about what time"	<b>いつごろ</b>夏休みを取りますか。	<b>いつごろ</b> なつやすみ を とります か	About when are you going on summer vacation?	0	いつごろ	0
1697	絶対に	"absolutely, unconditionally"	<b>絶対に</b>駄目です。	<b>ぜったいに</b> だめ です	Absolutely not.	0	ぜったいに	0
1698	消防車	fire engine	<b>消防車</b>が4台も来た。	<b>しょうぼうしゃ</b> が よんだい も きた	Four fire engines came.	0	しょうぼうしゃ	0
1699	嫌	"dislike, have a dislike for"	私は待つのが<b>嫌</b>だ。	わたし は まつ の が <b>いや</b> だ	I hate waiting.	0	いや	0
1700	大嫌い	hate	私はテストが<b>大嫌い</b>。	わたし は てすと が <b>だいきらい</b>	I hate tests.	0	だいきらい	0
1701	ウィスキー	whisky	この<b>ウィスキー</b>は強いよ。	この <b>うぃすきー</b> は つよい よ	This whisky is strong.	0	ウィスキー	0
1702	大抵	"generally, mostly"	朝食は<b>大抵</b>7時頃に食べます。	ちょうしょく は <b>たいてい</b> しちじごろ に たべます	I usually eat breakfast around seven o'clock.	0	たいてい	0
1703	大勢	"large numbers, a lot of"	<b>大勢</b>で食事に出かけました。	<b>おおぜい</b> で しょくじ に でかけました	We went out to eat in a large group.	0	おおぜい	0
1704	きつい	"tight, difficult@severe, hard, strict"	このシャツは少し<b>きつい</b>です。@彼女は性格が<b>きつい</b>よね。	この しゃつ は すこし <b>きつい</b> です@かのじょ は せいかく が <b>きつい</b> よ ね	This shirt is a little tight.@She has a strong personality.	0	きつい@きつい	0
1705	姿	"figure, appearance"	遠くに彼女の<b>姿</b>が見えた。	とおく に かのじょ の <b>すがた</b> が みえた	I saw her figure from a long way away.	0	すがた	0
1706	姿勢	"posture, attitude"	あの子はいつも<b>姿勢</b>が悪い。	あの こ は いつも <b>しせい</b> が わるい	That kid always has bad posture.	0	しせい	0
1707	エアメール	airmail	彼に<b>エアメール</b>を送りました。	かれ に <b>えあめーる</b> を おくりました	I sent him a letter by airmail.	0	エアメール	0
1708	恐ろしい	"terrible, awful"	昨夜<b>恐ろしい</b>夢を見た。	ゆうべ <b>おそろしい</b> ゆめ を みた	I had a terrible dream last night.	0	おそろしい	0
1709	怖い	"fearful, be afraid"	私は犬が<b>怖い</b>です。	わたし は いぬ が <b>こわい</b> です	I'm scared of dogs.	0	こわい	0
1710	糸	"thread, yarn"	母は<b>糸</b>を針に通した。	はは は <b>いと</b> を はり に とおした	My mother threaded the needle.	0	いと	0
1711	孫	grandchild	昨日、<b>孫</b>が生まれました。	きのう <b>まご</b> が うまれました	My grandchild was born yesterday.	0	まご	0
1712	シャープペンシル	mechanical pencil	私の<b>シャープペンシル</b>がありません。	わたし の <b>しゃーぷぺんしる</b> が ありません	My mechanical pencil is missing.	0	シャープペンシル	0
1713	木綿	cotton	彼女は<b>木綿</b>のシャツを着ています。	かのじょ は <b>もめん</b> の しゃつ を きて います	She's wearing a cotton shirt.	0	もめん	0
1714	偉い	"great, famous, eminent"	彼は<b>偉い</b>学者です。	かれ は <b>えらい</b> がくしゃ です	He's a great scholar.	0	えらい	0
1715	爪	"nail, claw"	<b>爪</b>が伸びています。	<b>つめ</b> が のびて います	My nails have grown.	0	つめ	0
1716	机	"desk, table"	新しい<b>机</b>を買ってもらいました。	あたらしい <b>つくえ</b> を かって もらいました	They bought me a new desk.	0	つくえ	0
1717	セロテープ	"cellophane tape, Scotch tape, Sellotape"	<b>セロテープ</b>はありますか。	<b>せろてーぷ</b> は あります か	Do you have any scotch tape?	0	セロテープ	0
1718	棚	"cupboard, shelf, rack"	大きな<b>棚</b>はとても便利です。	おおき な <b>たな</b> は とても べんり です	A large set of shelves is very useful.	0	たな	0
1719	本棚	bookshelf	これはとても大きな<b>本棚</b>ですね。	これ は とても おおき な <b>ほんだな</b> です ね	This is a very big bookcase.	0	ほんだな	0
1720	方針	"course, policy"	今後の<b>方針</b>が決まった。	こんご の <b>ほうしん</b> が きまった	We've decided our future policy.	0	ほうしん	0
1721	起こす	"wake up@bring about, cause"	明日、6時に<b>起こして</b>ください。@彼は暴力事件を<b>起こした</b>んだよ。	あす ろくじ に <b>おこして</b> ください@かれ は ぼうりょく じけん を <b>おこした</b> ん だ よ	Please wake me up tomorrow at six o'clock.@He caused a violent incident.	0	おこす@おこす	0
1722	釣る	"angle, fish"	昨日大きな魚を<b>釣りました</b>。	きのう おおき な さかな を <b>つりました</b>	I caught a big fish yesterday.	0	つる	0
1723	やけど	burn	彼は手に<b>やけど</b>をしました。	かれ は て に <b>やけど</b> を しました	He burned his hand.	0	やけど	0
1724	お釣り	change	母は<b>お釣り</b>を確かめた。	はは は <b>おつり</b> を たしかめた	My mother checked the change.	0	おつり	0
1725	鍵	"key, lock"	出かける時は<b>鍵</b>を掛けてください。	でかける とき は <b>かぎ</b> を かけて ください	Please lock the door when you go out.	0	かぎ	0
1726	鍋	"pan, saucepan"	<b>鍋</b>にスープが入っているよ。	<b>なべ</b> に すーぷ が はいって いる よ	There's some soup in the pan.	0	なべ	0
1727	寿司	sushi	彼女は<b>寿司</b>を初めて食べました。	かのじょ は <b>すし</b> を はじめて たべました 。	She ate sushi for the first time.	0	すし	0
1728	アイスコーヒー	iced coffee	<b>アイスコーヒー</b>をください。	<b>あいすこーひー</b> を ください	I'll have an iced coffee please.	0	アイスコーヒー	0
1729	泥棒	"thief, crook"	近所に<b>泥棒</b>が入った。	きんじょ に <b>どろぼう</b> が はいった	There was a burglary in the neighborhood.	0	どろぼう	0
1730	湯	"hot water, hot bath, bathhouse"	お風呂のお<b>湯</b>が一杯です。	おふろ の お<b>ゆ</b> が いっぱい です	The bath is filled with hot water.	0	ゆ	0
1731	沸く	"boil, be excited"	お風呂が<b>沸きました</b>。	お ふろ が <b>わきました</b>。	The bath is ready.	0	わく	0
1732	沸かす	"boil, excite"	お湯を<b>沸かして</b>ください。	おゆ を <b>わかして</b> ください	Please boil the water.	0	わかす	0
1733	あっち	"other side, there"	郵便局は<b>あっち</b>です。	ゆうびんきょく は <b>あっち</b> です	The post office is that way.	0	あっち	0
1734	洗濯機	washing machine	新しい<b>洗濯機</b>を買いました。	あたらしい <b>せんたっき</b> を かいました	I bought a new washing machine.	0	せんたくき	0
1735	洗濯	"laundering, washing"	一週間、<b>洗濯</b>をしていない。	いっしゅうかん <b>せんたく</b> を して いない	I haven't done the laundry for a week.	0	せんたく	0
1736	濡れる	get wet	雨で<b>濡れてしまった</b>。	あめ で <b>ぬれて しまった</b>	I got wet in the rain.	0	ぬれる	0
1737	喫茶店	"coffee shop, tea house, café"	<b>喫茶店</b>でコーヒーを飲んだ。	<b>きっさてん</b> で こーひー を のんだ	I drank coffee in the café	0	きっさてん	0
1738	あんなに	"that, so"	<b>あんなに</b>いい人はいません。	<b>あんなに</b> いい ひと は いません	There could never be such a good person.	0	あんなに	0
1739	怠ける	"be lazy, neglect"	<b>怠けていないで</b>、手伝って。	<b>なまけて いない で</b> てつだって	Stop slacking and help me!	0	なまける	0
1740	一生懸命	"for life, with all one's might"	彼は毎日<b>一生懸命</b>働いている。	かれ は まいにち <b>いっしょうけんめい</b> はたらいて いる	He works hard every day.	0	いっしょうけんめい	0
1741	休憩	"rest, repose"	少し<b>休憩</b>しましょう。	すこし <b>きゅうけい</b> しましょう	Let's take a break.	0	きゅうけい	0
1742	天井	ceiling	この部屋は<b>天井</b>が高いですね。	この へや は <b>てんじょう</b> が たかい です ね	This room has a high ceiling.	0	てんじょう	0
1743	いたずら	"mischief, prank"	その子は<b>いたずら</b>が大好きだ。	その こ は <b>いたずら</b> が だいすき だ	That kid loves playing tricks.	0	いたずら	0
1744	納豆	natto (fermented soybeans)	私は<b>納豆</b>をよく食べます。	わたし は <b>なっとう</b> を よく たべます	I often eat natto.	0	なっとう	0
1745	化粧	"make up, put on makeup"	彼女は<b>化粧</b>が上手い。	かのじょ は <b>けしょう</b> が うまい	She's very good with makeup.	0	けしょう	0
1746	畑	"field, vegetable garden"	母は<b>畑</b>仕事が好きだ。	はは は <b>はたけ</b> しごと が すき だ	My mother likes working in the field.	0	はたけ	0
1747	炊く	"cook, boil"	母は毎朝ご飯を<b>炊く</b>。	はは は まいあさ ごはん を <b>たく</b>	My mother cooks rice every morning.	0	たく	0
1748	ウェートレス	waitress	<b>ウェートレス</b>を呼んだ。	<b>うぇーとれす</b> を よんだ	I called the waitress.	0	ウェートレス	0
1749	自炊	cooking food for oneself	私は毎日、<b>自炊</b>している。	わたし は まいにち <b>じすい</b> して いる	I cook for myself every day.	0	じすい	0
1750	灰皿	ashtray	<b>灰皿</b>をください。	<b>はいざら</b> を ください	Please give me an ashtray.	0	はいざら	0
1751	灰	ashes	火事ですべて<b>灰</b>になった。	かじ で すべて <b>はい</b> に なった	Everything turned to ashes in the fire.	0	はい	0
1752	灰色	"ash color, gray"	今日の空は<b>灰色</b>だ。	きょう の そら は <b>はいいろ</b> だ	The sky's gray today.	0	はいいろ	0
1753	西暦	"Christian Era, A.D."	<b>西暦</b>1964年に東京でオリンピックがあった。	<b>せいれき</b> せんきゅうひゃくろくじゅうよねん に とうきょう で おりんぴっく が あった	The Tokyo Olympics were held in 1964.	0	せいれき	0
1754	毛	"hair, wool"	猫の<b>毛</b>がセーターに付いた。	ねこ の <b>け</b> が せーたー に ついた	I got cat hair on my sweater.	0	け	0
1755	髪	"hair, hairstyle"	昨日、<b>髪</b>を切りました。	きのう <b>かみ</b> を きりました	I had my hair cut yesterday.	0	かみ	0
1756	舌	tongue	<b>舌</b>を出してください。	<b>した</b> を だして ください	Stick out your tongue.	0	した	0
1757	くし	comb	彼は<b>くし</b>で髪をとかした。	かれ は <b>くし</b> で かみ を とかした	He combed his hair.	0	くし	0
1758	匂い	"smell, odor"	いい<b>匂い</b>がする。	いい <b>におい</b> が する	It smells good.	0	におい	0
1759	履く	"put on footwear, wear"	彼女はブーツを<b>履いています</b>。	かのじょ は ぶーつ を <b>はいて います</b>	She's wearing boots.	0	はく	0
1760	クリーニング	"cleaning, laundry"	スーツを<b>クリーニング</b>に出しました。	すーつ を <b>くりーにんぐ</b> に だしました	I sent the suit to the cleaners.	0	クリーニング	0
1761	おしゃべり	"chatter, talkative@chatter, idle talk"	妹はとても<b>おしゃべり</b>です。@彼女たちは<b>おしゃべり</b>に夢中です。	いもうと は とても <b>おしゃべり</b> です@かのじょたち は <b>おしゃべり</b> に むちゅう です	My little sister's very talkative.@Those women are absorbed in their conversation.	0	おしゃべり@おしゃべり	0
1762	戸	"door, shutter"	部屋の<b>戸</b>が開いています。	へや の <b>と</b> が あいて います	The room's door is open.	0	と	0
1763	扇風機	electric fan	暑いから<b>扇風機</b>をつけよう。	あつい から <b>せんぷうき</b> を つけよう	"It's hot, so let's turn on the fan."	0	せんぷうき	0
1764	豚	"pig, pork"	<b>豚</b>はすごく鼻が良い。	<b>ぶた</b> は すごく はな が いい	Pigs have a very good sense of smell.	0	ぶた	0
1765	豚肉	"pork, hog meat"	<b>豚肉</b>は美味しいです。	<b>ぶたにく</b> は おいしい です	Pork is delicious.	0	ぶたにく	0
1766	ごちそう	"feast, treat"	テーブルの上に<b>ごちそう</b>が並んでいる。	てーぶる の うえ に <b>ごちそう</b> が ならんで いる	There are some delicious treats lined up on the table.	0	ごちそう	0
1767	鶏	"chicken, hen"	その<b>鶏</b>は毎朝鳴きます。	その <b>にわとり</b> は まいあさ なきます	The rooster crows every morning.	0	にわとり	0
1768	腕時計	wrist watch	私の<b>腕時計</b>は遅れている。	わたし の <b>うでどけい</b> は おくれて いる	My watch is slow.	0	うでどけい	0
1769	お菓子	"sweets, snacks"	みんなに<b>お菓子</b>をあげましょう。	みんな に <b>おかし</b> を あげましょう	Let's give everyone some sweets.	0	おかし	0
1770	お辞儀	bow	皆、社長に<b>お辞儀</b>をした。	みんな しゃちょう に <b>おじぎ</b> を した	Everyone bowed to the company president.	0	おじぎ	0
1771	ごちそうする	treat	今日の夕食は私が<b>ごちそうします</b>。	きょう の ゆうしょく は わたし が <b>ごちそう します</b>	I'll treat you to dinner tonight.	0	ごちそうする	0
1772	寝坊	"late riser, oversleeping"	今朝は<b>寝坊</b>しました。	けさ は <b>ねぼう</b> しました	I slept in this morning.	0	ねぼう	0
1773	旗	"flag, banner"	<b>旗</b>が風に揺れている。	<b>はた</b> が かぜ に ゆれて いる	The flag is waving in the wind.	0	はた	0
1774	鉛筆	pencil	<b>鉛筆</b>を貸して下さい。	<b>えんぴつ</b> を かして ください	Please lend me a pencil.	0	えんぴつ	0
1775	万年筆	fountain pen	父に<b>万年筆</b>をプレゼントしました。	ちち に <b>まんねんひつ</b> を ぷれぜんと しました	I gave my father a fountain pen.	0	まんねんひつ	0
1776	こぼれる	"spill, overflow"	彼女の目から涙が<b>こぼれた</b>。	かのじょ の め から なみだ が <b>こぼれた</b>	Tears rolled down from her eyes.	0	こぼれる	0
1777	箱	"box, case"	この<b>箱</b>は重い。	この <b>はこ</b> は おもい	This box is heavy.	0	はこ	0
1778	本箱	bookcase	雑誌を<b>本箱</b>に入れました。	ざっし を <b>ほんばこ</b> に いれました	I put the magazine in the bookcase.	0	ほんばこ	0
1779	手袋	gloves	寒いので<b>手袋</b>をしました。	さむい の で <b>てぶくろ</b> を しました	I wore gloves because it was cold.	0	てぶくろ	0
1780	袋	"bag, sack"	<b>袋</b>はいりません。	<b>ふくろ</b> は いりません	I don't need a bag.	0	ふくろ	0
1781	こんなに	"this, so, such"	<b>こんなに</b>面白い本は初めて読んだ。	<b>こんなに</b> おもしろい ほん は はじめて よんだ	I've never read such an interesting book before.	0	こんなに	0
1782	財布	"purse, wallet"	会社に<b>財布</b>を忘れた。	かいしゃ に <b>さいふ</b> を わすれた	I left my wallet at the office.	0	さいふ	0
1783	毛布	blanket	この<b>毛布</b>は暖かい。	この <b>もうふ</b> は あたたかい	This blanket is warm.	0	もうふ	0
1784	布団	"futon, bedquilt"	母が<b>布団</b>を干している。	はは が <b>ふとん</b> を ほして いる	My mother is airing the futons.	0	ふとん	0
1785	小包	"parcel, package"	フランスの友達から<b>小包</b>が届いた。	ふらんす の ともだち から <b>こづつみ</b> が とどいた	A package arrived from a friend in France.	0	こづつみ	0
1786	ざあざあ	"heavily, pouring"	雨が<b>ざあざあ</b>降っている。	あめ が <b>ざあざあ</b> ふって いる	It's pouring.	0	ざあざあ	0
1787	包む	"wrap, pack"	プレゼントをきれいな紙で<b>包みました</b>。	ぷれぜんと を きれい な かみ で <b>つつみました</b>	I wrapped the present in beautiful paper.	0	つつむ	0
1788	飾る	"decorate, exhibit"	テーブルの上に花を<b>飾りました</b>。	てーぶる の うえ に はな を <b>かざりました</b>	I decorated the table with flowers.	0	かざる	0
1789	手帳	"pocketbook, memo"	新しい<b>手帳</b>を買いました。	あたらしい <b>てちょう</b> を かいました	I bought a new notebook.	0	てちょう	0
1790	電話帳	telephone book	<b>電話帳</b>を見せてください。	<b>でんわちょう</b> を みせて ください	Please show me the telephone book.	0	でんわちょう	0
1791	ジャガイモ	potato	ポテトサラダを作るから、<b>ジャガイモ</b>を買ってきて。	<b>ぽてと</b> さらだ を つくる から <b>じゃがいも</b> を かって きて	"I'm going to make potato salad, so go and buy some potatoes."	0	ジャガイモ	0
1792	牛乳	milk	私は毎朝、<b>牛乳</b>を飲む。	わたし は まいあさ <b>ぎゅうにゅう</b> を のむ	I drink milk every morning.	0	ぎゅうにゅう	0
1793	玄関	"entrance, door"	<b>玄関</b>に花を飾りました。	<b>げんかん</b> に はな を かざりました	I decorated the entrance with flowers.	0	げんかん	0
1794	眼鏡	"glasses, judgment"	彼は<b>眼鏡</b>をかけています。	かれ は <b>めがね</b> を かけて います	He's wearing glasses.	0	めがね	0
1795	眠い	sleepy	今日はとても<b>眠い</b>です。	きょう は とても <b>ねむい</b> です	I'm very sleepy today.	0	ねむい	0
1796	ソファー	"sofa, sofa bed"	この<b>ソファー</b>は気持ちがいい。	この <b>そふぁー</b> は きもち が いい	This sofa is very comfortable.	0	ソファー	0
1797	眠る	sleep	昨日は8時間<b>眠りました</b>。	きのう は はちじかん <b>ねむりました</b>	I slept for eight hours yesterday.	0	ねむる	0
1798	封筒	envelope	その手紙を<b>封筒</b>に入れた。	その てがみ を <b>ふうとう</b> に いれた	I put that letter in an envelope.	0	ふうとう	0
1799	出掛ける	"go out, be about to go out"	主人はもう<b>出掛けました</b>。	しゅじん は もう <b>でかけました</b>	My husband has already gone out.	0	でかける	0
1800	掛かる	"hang, splash, require"	壁に大きな時計が<b>掛かっています</b>。	かべ に おおき な とけい が <b>かかって います</b>	There's a big clock hanging on the wall.	0	かかる	0
1801	たばこ	"tobacco, cigarette"	彼は<b>たばこ</b>を吸いません。	かれ は <b>たばこ</b> を すいません	He doesn't smoke.	0	たばこ	0
1802	掛け算	multiplication	弟は<b>掛け算</b>を習っている。	おとうと は <b>かけざん</b> を ならって いる	My little brother is learning his multiplication tables.	0	かけざん	0
1803	拍手	"applause, clapping"	大きな<b>拍手</b>が上がった。	おおき な <b>はくしゅ</b> が あがった	There was a big round of applause.	0	はくしゅ	0
1804	掃除	cleaning	週末は部屋の<b>掃除</b>をしました。	しゅうまつ は へや の <b>そうじ</b> を しました	I cleaned my room on the weekend.	0	そうじ	0
1805	掃く	"sweep, brush"	床をほうきで<b>掃きました</b>。	ゆか を ほうき で <b>はきました</b>	I swept the floor with a broom.	0	はく	0
1806	ちょうど	"just, as if"	値段は<b>ちょうど</b>3万円です。	ねだん は <b>ちょうど</b> さんまんえん です	"The price is exactly 30,000 yen."	0	ちょうど	0
1807	掃除機	vacuum cleaner	<b>掃除機</b>が壊れた。	<b>そうじき</b> が こわれた	The vacuum cleaner broke.	0	そうじき	0
1808	握る	"grasp, make hand-rolled sushi balls"	少女は母親の手を<b>握った</b>。	しょうじょ は ははおや の て を <b>にぎった</b>	The girl clasped her mother's hand.	0	にぎる	0
1809	握手	"handshake, handshaking"	彼らは<b>握手</b>をした。	かれら は <b>あくしゅ</b> を した	They shook hands.	0	あくしゅ	0
1810	迎える	"welcome, go out to meet, invite"	姉が空港まで<b>迎え</b>に来てくれます。	あね が くうこう まで <b>むかえ</b>に きて くれます	My big sister is coming to pick me up at the airport.	0	むかえる	0
1811	ちょっと	"just a moment, just a little, easily"	もう<b>ちょっと</b>塩を入れて。	もう <b>ちょっと</b> しお を いれて	Put in a little more salt.	0	ちょっと	0
1812	お巡りさん	policeman	あの<b>お巡りさん</b>に道を聞きましょう。	あの <b>おまわりさん</b> に みち を ききましょう	Let's ask that policeman how to get there.	0	おまわりさん	0
1813	幾つ	"how many, how old"	娘さんは<b>幾つ</b>になりましたか。	むすめさん は <b>いくつ</b> に なりました か	How old is your daughter now?	0	いくつ	0
1814	冗談	joke	<b>冗談</b>は止めてください。	<b>じょうだん</b> は やめて ください	Please stop joking.	0	じょうだん	0
1815	つく	"be on, switched on"	部屋の電気が<b>ついています</b>。	へや の でんき が <b>ついて います</b>	The room light is on.	0	つく	0
1816	穴	"hole, cavity"	靴下に<b>穴</b>が開いている。	くつした に <b>あな</b> が あいて いる	There are holes in my socks.	0	あな	0
